Age  north=Enusmu
Elnilminigu  south=Elodenina east=Dusmola west=Mo-Miga
Emosmino  south=Emo-Exina east=Asnanixa
Mo-Mimo  north=Mudimo south=Mulule
Migusma  south=Musminina east=Migexe
Asmame  north=Elemudinigilo south=Musmasne west=Exegixo
Egenu  north=Alexanu east=Mimulixe west=Axilu-Minilmo
Digimixu  north=Dolude south=Mixodiniga
Esmoligigo  south=Exesnu east=Du-Dalu
Dalno-A  north=Asmodilna south=Egisne east=Emo-Me
Dinana  north=Esmuda west=Degodo
Asmole  south=Enalimo east=Molasnu west=Examixo
Digiga  north=Dalode south=Digige west=Mudosmo
Egixano  north=Egulo-Ma
Eligegisnu  south=Ago-Eme east=Egodosna west=Maxino
Exigano  south=Degulna
Mesmimixu  east=Mesnago west=Egolmo
Digana  north=Digano west=Alasmila
Agisne  east=Ego-Do west=Egudege
Esnanixu  south=Meno-De west=Dudemu
Dagulno  south=Asno-Mo east=Mimo-Ma
Esmudo 
Exulusne  north=Dismudilmilo east=Maginu west=Dododu
Egaxudo  west=Egilnisme
Amigama  north=Asmile south=Delisna east=Do-A west=Agududisna
Memosmino 
Asnane  south=Anudamisniline
Migosmismu  north=Emigano west=Amulme
Agosno  north=Dusnela south=Asmismo east=Mamana
Amodino  south=Digixinu east=Esmismo
Egulixo  north=Egagolnu east=Duda west=Mo-Ala
Digage  north=Alnisna south=Eludulnu west=Emolmismila
Dexo-A  north=Masmenige south=Magulo east=Dulagu
Modile  north=Elaxame south=Amudude
Agixaginu 
Enodelnige  south=Masnago
Mamimo 
Demo-Do  north=Enu-Mixisno east=Musmane west=Agulmisma
Agigesna  north=Mano west=Anolnina
Enimisno  north=Axudaxo east=Damasmile
Dalnodu  north=Mexaxe south=Mexaxa east=Esmasmo
Degule  east=Amolago
Axo-Exisne  south=Dixulnilu east=Emimexa
Agimigino  north=Agasnilisne
Elnime  east=Elmoda west=Aximaga
Mimelisna  north=Esna south=Esne east=Musnimo west=Enode
Agaxalu  south=Axismo east=Musma
Musnu-E  south=Masnu-De west=Desmusma
Emiximu  north=Enamino south=Dulasmo
Almago  north=Egudulo
Asmimo  east=Dusninu
Mosmolo  south=Axodesme
Egismilu  north=Delosmiginu east=Mesmisminu west=Dismage
Exulexu  north=Digala west=Almaxa
Asmexa  north=Mamigo
Molusma 
Ameninu  north=Delo-A
Masmolu  west=Emalno
Desnasmo  north=Amexeno west=Mududima
Elu-Du  west=Eludolimo
Migu-Do  east=Manemo west=Demixo
Enusmu  north=Mu-Anu south=Age west=Enalismu
Agulamino  south=Menu-Do west=Elmamino
Emo-Exina  north=Emosmino south=Mismane
Mulule  north=Mo-Mimo east=Axixixa west=Dixodu
Axexago  north=Dilmo
Elemudinigilo  south=Asmame west=Meninilmo
Alexanu  south=Egenu west=Musmolo
Mixodiniga  north=Digimixu
Exesnu  north=Esmoligigo west=Eligexa
Egisne  north=Dalno-A west=Mego-Mo
Esmuda  south=Dinana
Dilnexu  east=Agasmo west=Dasnelu
Anelmu 
Axolodu  south=Manilmo west=Axalesno
Melodo  south=Do-Ame west=Esmismu
Dane  west=Dimode
Alosno  south=Esmama east=Mixuda west=Memena
Agu-Asmo  south=Demila east=Mo-Digo west=Mamexe
Axixe  south=Axosmu
Egixene  north=Mixaxa west=Esnenimo
Egosme  east=Delaniga
Alelexixe  north=Anu-Ma east=Dulmemisne west=Ageliga
Migaxe  east=Mimego west=Exale
Dodesno  south=Minasnu east=Demixu west=Du-Dosmu
Dixisnixa  west=Mimixilne
Axulo  west=Amenixo
Musme  east=Axisne west=Melusminu
Elimime  north=Elagude
Asmismo  north=Agosno
Mo-Digo  south=Mu-Alu east=Anusno west=Agu-Asmo
Egagolnu  north=Enexixu south=Egulixo east=Alexixo west=Emamolo
Alnisna  south=Digage east=Elnilo west=Amene
Magulo  north=Dexo-A south=Dusmalu west=Aludeno
Amudude  north=Modile
Exelagiga  west=Milulinu
Asniligo  north=Almigu east=Molmudisma west=Mixu
Masmesmimo  north=Dasnulu west=Dolusme
Mosninimismo  north=Delaxa east=Dexusme west=Mu-Alme
Enigale  south=Modilno east=Manaxu
Dulismige  east=Mixolmixa west=Du-Ala
Delilnixa  east=Asnesninixu west=Emigano
Exinelo  north=Agalaxe
Megamige  south=Agu-Elo east=Elamo-A
Dasnelu  south=Daxige east=Dilnexu
Musnismo  south=Dagasna east=Anixixa west=Mu-Dulu
Alusna  west=Elenelmixa
Desmena  north=Ego-Eno
Exodisno  south=Anexalisna east=Esnama
Esnino  south=Mixodo west=Du-Du-A
Enamegismo 
Egigolisne  west=Egimagu
Anulmu 
Dixegigo  west=Dala
Dixamigu  west=Emegu
Desmiga  west=Exodale
Enagemu  east=Mixemu
Mamino  west=Elenismu
Amixu-Ma  north=Anemu west=Mu-Dine
Musnesnu  east=Eludinisma
Elelila 
Mismesmo  east=Alo-A
Agesmu  north=Molmene west=Ago-Ale
Manudixa  west=Aminega
Mo-Dismo  east=Examana west=Anigilu
Dodosnigu  north=Digeme west=Esnixima
Alodo  east=Anu-Amo
Esmilno 
Exosmiline  east=Exudigu
Dimo  north=Egigeno west=Amosme
Mu-Alme  east=Mosninimismo west=Asmaxe
Enudulno  south=Daxu-E
Mu-Amo  east=Mima west=Musnime
Exeloliga  east=Enudiga west=Asnu-Mo
Agududisna  north=Mesnu east=Amigama west=Asnolnu
Mismasmu  south=Egulo-Ma
Exoleme  north=Alno-Me
Axanesmo  east=Egasnismo west=Melmu-Me
Almolno  east=Asmismu
Mixodo  north=Esnino
Mo-Ano  east=Exudoline
Exudima  east=Asmelnismixa west=Melimime
